ya,,Before,Before,Before,After,After,After,,,
Major:,Name:,Memory Game (seconds) - Sober ,Balance Test Eyes Closed (seconds) - Sober,BAC - Sober,Memory Game (seconds) - Drunk ,Balance Test Eyes Closed (seconds) - Drunk,BAC - Drunk,Memory difference,Balance difference,Notes
Arts,Mathis Eklund,102,60,0.001,90,19,0.065,-12,-41,
Arts,Jermaine Tiwari,62.5,26,0.006,57.8,19,0.06,-4.7,-7,
Arts,Sage Suzuki,85.4,54,0,88.1,8,0.094,2.7,-46,
Arts,Lynnea Madsen,53.8,39,0,52.5,16,0.087,-1.3,-23,She got pregnant
Arts,Vanessa Sorensen,63.4,16,0,66.5,8,0.096,3.1,-8,
Arts,Jana Ahlberg,48.7,59,0,50.8,13,0.085,2.1,-46,
Arts,Hiromori Koyama,67.7,26,0.003,74.5,10,0.072,6.8,-16,
Arts,Kin Collins,74.9,32,0,72.1,7,0.059,-2.8,-25,
Arts,Tahlia Kimura,65.4,70,0.002,70.1,11,0.101,4.7,-59,
Arts,Evan Jackson,90,32,0,85.1,26,0.071,-4.9,-6,
Arts,Laurie Mori,59.2,47,0.004,55.1,10,0.078,-4.1,-37,
Arts,Ansel Sato,80.3,48,0.003,83.6,18,0.081,3.3,-30,
Arts,Nathan McCarthy,62.7,35,0.001,53.7,22,0.057,-9,-13,
Arts,Ashley Watanabe,57.3,68,0,52.5,12,0.088,-4.8,-56,
Arts,Aahna Karmarkar,66.6,61,0,60.3,14,0.113,-6.3,-47,
Arts,Beata Walther,102,12,0.008,96,7,0.124,-6,-5,
Arts,Sigrid Bager,83.6,63,0,90,11,0.1,6.4,-52,
Arts,Julian Sorensen,69.8,46,0,56.6,17,0.058,-13.2,-29,
Arts,Kayleigh Wilson,64.6,35,0.002,66.4,6,0.1,1.8,-29,
Arts,Christian Sorensen,69.7,35,0,66.8,23,0.08,-2.9,-12,
Arts,Ella Connolly,42.2,46,0,49.1,11,0.094,6.9,-35,
Arts,Justin Sharma,90,29,0,85.5,3,0.1,-4.5,-26,
Arts,Zenjiro Koyama,79.9,57,0.002,85.3,11,0.083,5.4,-46,
Arts,Haruhi Okada,54.2,44,0,50.3,16,0.087,-3.9,-28,
Arts,Axel Clausen,68.5,40,0,57.2,24,0.075,-11.3,-16,
Law,Seiji Takeuchi,60.6,38,0.002,57.4,17,0.049,-3.2,-21,
Law,Kashvi Basu,76.2,62,0,79.1,11,0.13,2.9,-51,
Law,Misaki Brown,43.9,36,0.001,41.6,12,0.077,-2.3,-24,
Law,Elena Solberg,49.1,63,0,46.1,0,0.104,-3,-63,
Law,Ebbe Solberg,58.5,33,0,57.8,13,0.057,-0.7,-20,
Law,Julie Blomgren,42.4,30,0,41.2,5,0.082,-1.2,-25,
Law,Nathan Blomgren,40.9,66,0,38.7,11,0.068,-2.2,-55,
Law,Eleanor Bahadur,49.7,33,0,48.6,7,0.116,-1.1,-26,
Law,Yuval Khan,74.4,52,0,78.4,22,0.063,4,-30,
Law,Daniel Jensen,40.3,67,0,48.8,11,0.058,8.5,-56,
Law,Yuta Yamada,50.6,71,0.004,44.1,16,0.063,-6.5,-55,
Law,Ryotaro Endo,59.3,26,0,62.3,31,0.045,3,5,
Law,Sarah Price,50.4,46,0.004,49.2,12,0.085,-1.2,-34,
Law,Emy Kimura,56.4,71,0,48.2,18,0.095,-8.2,-53,
Law,Dane Solberg,73.6,40,0.003,64.8,29,0.068,-8.8,-11,
Law,Henri Cohen,49.6,38,0,55.8,14,0.059,6.2,-24,
